,text,sentiment,label
26,"pratyek jiv taste of death chakhnevala hai, aur tumhen to iyamat ke din poora-poora badla de diya jaega. ata jise aag jahannam se hatakar jannat men dail kar diya gaya, vah saphal raha. raha sansarik jivan, to vah maya-samagri ke siva kuchh bhi nahin
",negative,0
27,"fluctuations jute ke production men utar-chaav , low yield , cost sphiti , labour unrest , uncertain demand , obsolete machinery , kuchh iski major problems hain
",negative,0
28,"ek demographic dividend ke sath kee young lot
",neutral,1
29,"yadi aap yah mante hain ki aap kar sakte hain, to snbhavta aap kar sakte hain.
",neutral,1
30,"ek school men, har koee wearing jeans raha hai, har koee ek saman hai
",neutral,1
31,"pichhe ek bari sabhi huee jismen hakim sahab aur pndit meeting was called hue.
",neutral,1
32,"highest se highest amount jo mooly rup me di jani amount
",neutral,1
33,"ye the  turban , chnvron ki pair , umbrella , sword , sandals tatha royal that-bat se rahna.
",neutral,1
34,"aur ae rasool hamare bandon men ibrahim aur isha aur yakoob ko yad karo jo kuvat aur basirat vale the
",neutral,1
35,"spades ki place the ten place spades ke nahla ko rakhen
",neutral,1
36,"charls tilli Charles Tilly aatnk aatnkvad terrorist sociological theory 2004 22 5-13 men ऑnlain
",negative,0
37,"evolution data v settings ka backup len v phir bhndarit karen
",neutral,1
38,"yah agricultural machinery , wholesale tatha retail bajar evn foreign trade ko bhi vitrit evn niyntrit karta hai.
",neutral,1
39,"hindi ki various dialects ka literature today bhi popular hai aur today bhi many poets aur writers apna work apni-apni regional bhashaon men karte hain.
",positive,2
40,"image ko 90 degrees par right ghumaen
",neutral,1
41,"aur kisi particular scope ke sndarbh men human ka arth ya children , is moreover ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega , is moreover ki koee garnti nahin di ja dispute
",positive,2
42,"aaj tonight ek year poora ho jaega.
",neutral,1
43,"han, jaise ki doosro ke bare men mansik kalpnaen aur ray.
",positive,2
44,"air ki quality par new england ka american lung association
",neutral,1
45,"vah uski greater spiritual nature ko niche utarakar is lower trividh satta men nahin triplicity sakta  kyonki yahan to manomay purush hi aatma ki sarvochch expression hai.
",neutral,1
46,"to 1 times 5 barabar hai 5ke
",neutral,1
47,"chandi taph ya kainditapht mukhyat ornamental purposes ke lie ugae jate hain
",neutral,1
48,"other or buddhist ke patronage men art samriddhshali bani.
",positive,2
49,"standard chartard 140 miliyan laya hai.
",neutral,1
50,"war ke varshon ke dauran , railways par atydhik strain tha  yah n keval troops aur war materials ko desh men hi lane responsibility jane ke great tha varan african war men railways ke lie staff aur materials ki bati huee needs ko poora karne ke un par saunpe gaye dayitv ke great tha
",negative,0
51,"ve bole, ae moses! ya to tum phenko ya phir ham pahle phenkte hain.
",neutral,1
52,"koee maintenance charges dene ki jarurat nahin paid
",negative,0
53,"CMS attach data snlagn nahin kar sakta hai
",neutral,1
54,"aesi incidents ko bilkul tolerance n karne ki mooly prerit commitment ke roop men , mining industry men reaction ki culture ke bajay prevention ki culture ki aavashyakta hai.
",positive,2
55,"yah patrak batata hai ki vitamin ke  k  benefits bliding  vitamin ke  k  ki kabhi deficiency ki vajah se khoon bahne lagna  kya possible bhash  yah vitamin ke  k  sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta possible bhash
",positive,2
56,"vastuta jab uski ichchhaen poori ho jati hai to vah apne sthan par vapas aa jata hai, aur aannd ka, aatma ka upyog karta hai.
",positive,2
57,"skoolon men bachchon ko corporal punishment dene par rok honi chahie aur vidyarthiyon ko rachnatmak pahal karne ke lie protsahit kiya jana chahie.
",positive,2
58,"move khiskaen  move par
",neutral,1
59,"dekhe, kare minus 57 divided hai 103 se
",neutral,1
60,"kya har koee apne true nature ka jan sakta hai
",positive,2
61,"us rush men khinche nahin don get hai   us storm me.
",neutral,1
62,"item tags ke roop men hi HandyShopper ke stor nam aayat karen
",neutral,1
63,"vidhi men ek niyam ke antargat kee up niyam hote number
",positive,2
64,"delight bhari gardens men honge
",positive,2
65,"chhote chhote shishu udyog is samay ke mukhri-oonshchhsh-y shishu udyogon men chini, kagaj aur diyaslari ki charcha ki ja sakti hai
",neutral,1
66,"delhi ke last ne ekjut ho 10 april ko unke khilaph cheating ke aarop ke sath cng kit scam men unki role batate he fir darj karvaee
",negative,0
67,"isiliye ek jyada smaller group ki jaroorat hai , something use aap kary steering committee kahen ya kuchh aur , jo sal men kee bar mil sake , adhik active ho sake aur less kharch se kam chala sake.
",positive,2
68,"unhonne wasn kiya ki vahan paryapt progress nahin thi
",positive,2
69,"han ya nhin parchiyon par votes by members ka abhilekhan ka tarika samanyatya nimnlikhit paristhtiyon men apnaya jata haia-
",neutral,1
70,"fate account  ye chand towns ke halat hain jo ham tum se bayan karte hain unmen se others to  us vakt tak  ayam hain aur others ka tahas nahas ho gaya
",neutral,1
71,"machinery and implements ki purchase aavdhik rin:
",neutral,1
72,"to yah vapas potential energy ko phir se chala jata hai.
",positive,2
73,"children ko opivi 5 years of age tak diya ja sakta hai
",neutral,1
74,"usman riyaja one , yah first tha  aur phir main
",positive,2
75,"is item ke lie dikhae jane ke lie info
",neutral,1
76,"bap ke ganl bladar ka ऑpreshan karaya bangur haspital ke peing bed bharti kara kar.
",positive,2
77,"wind ki speed   d kilomitarprtighnta
",neutral,1
78,"yadi selected gaya hai, jab aap esesel enabled site par prvesh karte hain to aapko soochit kiya jaega
",neutral,1
79,"pratyek varteks ek label hai, aur in label nimn gun hona aavashyak hai.
",neutral,1
80,"ii  tuensang affairs minister tuensang district se snbndhit sabhi matters ki babat affairs karega aur unke snbndh men governor ke pas uski direct access hogi kintu vah unke snbndh men mukhymntri ko jankari deta rahega
",neutral,1
81,"yaoob ne kaha ae son  dekho bardar  lest apna vision apne brothers se n dohrana  varna  vah log tumhare lie scheme ki tadbir karne lagegen ismen to sha hi nahin ki shaitan man ka sworn huaa enemy hai
",negative,0
82,"jis day sky chakkar khane lagega
",negative,0
83,"joint forest management samitiyon ne tribal people logon ko pichhara aur abhavagrast banane vale van snsadhnon ke dohan ko samapt karne men prmukh played a key
",negative,0
84,"koee skilled or artistic worker ya karigar.
",neutral,1
85,"mai janta hoon ki bodhisatv sabhi living par apni kripa bhav bikhere hue hain!
",positive,2
86,"is type ki open files open
",neutral,1
87,"svarg ke lie greek men kvaranos planet uranus ke oopar nam rakha gaya
",positive,2
88,"sab right hai , yah ek aur ek ki kata aur one jana chahie hai.
",negative,0
89,"xviikh clause 56 ki upclause 2 ke khnd xi men nirdisht kori prtikar ya any snday
",neutral,1
90,"south asian free trade area saphta par kararname par islamabad men 4-6 janavri ko aayojit barahvendakshin eshiyaee kshetriy sahyog sngh sark sammelan ke dauran sark ke sabhi sadasy deshon ne hastakshar kie.
",positive,2
91,"un tinon ne ek gvalin ko dekha jo apne ghar ke samne dahi math rahi thi aur apne charon taraph khelte hue bachchon se kah rahi thi, bhag jao, bachcho, nahin to dahi ki boonden thumi tumhare oopar uchhalakar girengi.
",positive,2
92,"lock file ko an-lk karne men asafal
",negative,0
93,"hamne unhen sudharne ki koshish ki hai.
",neutral,1
94,"kuchh nothing kam n hane ke karan unhonne apna mind society or lagaane ki drishti se apne jaise vichar vale persons ki ek sosayti bana li.
",positive,2
95,"petitioners  ee-phailing ke madhyam se supreme record men keval pirit person arthat cases filing karne ke ichchhuk person svyn ya nibndhit advocate hi cases filing kar sakta
",positive,2
96,"aesa mana jata hai ki doodling karne vale ka focus bhng ho chuka hai,
",negative,0
97,"yah formulating development ke lie policies ke nirman aur karyanvayan men government ki madad karti hai.
",neutral,1
98,"anksiy ek tantrik word hai jiska shabdik arth hai technical oxygen ke.
",neutral,1
99,"islie ki main kuchh kar sakoon ,  oont chalak ne kaha ,  aur un change those things sakoon jinhen main ghatit hote hue nahin dekhna chahta !
",positive,2
100,"bhai bhaee patel ne apni property men apni billions ki babu subhashbaboo ke nam kar di.
",neutral,1
101,"24 august, 1833 ko uska janm gujrat ke soorat nagar men huaa.
",neutral,1
102,"prishth ya satah se oopar structure
",neutral,1
103,"aur jab unhen koran pakar sunaya jata hai to sajde men nahin gir parte
",neutral,1
104,"ham dreams vale hain kyonki hamare pas ek sapna hai.
",positive,2
105,"ae leave mujhe aur us shash ko chhor do jise maine akela paida kiya
",negative,0
106,"pahle  sab mankind ek hi din rakhte the  phir good men jhagarne lage tab  allah ne najat se tidings bearers dene vale aur azab se darane vale sent ko bheja aur in sent ke sath baraha community bhi nazil ki taki jin baton men mankind jhagarte the kitabe allah  uska  faisla kar de aur phir afsos to ye hai ki is hukm se proofs kiya bhi to unhin logon ne jin ko community di gayi thi aur vah bhi jab un ke pas allah ke clear ehkam aa chuke uske bad aur vah bhi good ki shararat se tab allah ne apni meharbani se  alis  eemandaron ko vah straight ha dikha di jis men un logon ne proofs dal rakha tha aur allah jis ko chahe straight guideth ki hidayat karta hai
",positive,2
107,"magar is sabse jyada mainne yah learned ki ye sab simple itni saral hain ki inhen nagine ki satah par bhi likha ja sakta hai .
",neutral,1
108,"industrial relations bill men delay ki bhi ek complaint mili hai.
",negative,0
109,"vah lord aur earth ka aur jo kuchh unke bich hai beneficent god hai , atyant kripashil hai , uske samne bat karna unke bas men nahin hoga
",positive,2
110,"yah region malaria, kala aur leprosy rog se prbhavit tha.
",neutral,1
111,"aur hamne aasman se ek andaje e sath pani barsaya phir usko zamin men hasab maslehat thahrae rakha aur ham to yainan uske aeb kar dene par bhi aboo rakhte hai
",positive,2
112,"unke children ki paravrish men poora rashtrapati bhavan unke sath whole
",neutral,1
113,"phir tumko usi men resurrection le end aur  earth men usi se  nikal kar khara karega
",neutral,1
114,"1882 men lord ripon ne district local boards ke gathan ke sath india men local self-government ki sthapna ki
",neutral,1
115,"chaynit bookmark ko new tab men kholen
",neutral,1
116,"bharat ne in charchaon men actively and constructively dhng se hisa liya aur duniya se samast parmanu hathiyaron ki samapti ke lie ek samayabaddh karyakram ka prastav karke is sndhi ko nirastrikaran ke dhanche men dhalne ki mang jahir ki.
",negative,0
117,"india ne in negotiations men sakriy aur framework elimination se hisa liya aur duniya se samast nuclear weapons ki samapti ke lie ek samayabaddh programme ka prastav karke is treaty ko disarmament ke dhanche men dhalne ki mang jahir ki.
",negative,0
118,"haq mujahideen ke dashak ke soviyat-aphgan war ke samay se hi cia se jurai the
",negative,0
119,"aur uda hi ne tummen se baz ko baz par rizak daulat men tarjih di hai phir jin logon ko rozi jyada di gee hai vah log apni rozi men se un logon ko jin par unka dastaras ikhteyar hai laundi ulam vaairah dene vala nahin halki is mal men to sab ke sab malik gulam vaairah barabar hain to kya ye log uda ki neamat ke munkir hain
",positive,2
120,"pani men nice ka vahan bahut baiya intazam hai.
",positive,2
121,"phitakrimi infestation men human primary poshi ya host hai
",neutral,1
122,"juvenile justice board ne prakat lower se appellant ko , १३  ०८  २००३ par uski age २० years manakar , jo medical board dvara tay ek years ki range ke bhitar kami ki side thi , benefit diya hai
",positive,2
123,"unhonne kaha ki unka job multifarious force unhonne salah projection ki unhen yah sadaiv yad people chahie ki unke behaviour aur conduct se n keval police seva ke bare men najriya banata hai varan vah vastav men common janta ke samne entire administration ka reflection hota force
",neutral,1
124,"rural electrification ekal electric ghar
",neutral,1
125,"indian national congress ne simon commission ke gathan par appointment prtikriya vyakt ki
",neutral,1
126,"snow leopard himalay men blue sheep ka shikar karta hai.
",neutral,1
127,"ek hydrological unit ke lie jal snsadhan development and management ki yojna banani hogi.
",neutral,1
128,"madras high court women ke enrolment men bhi pioneer raha.
",neutral,1
129,"place chief , malik bhago guru ko apne dvara sushebhit ki huee rich feast men food grahan karne ke lie kahta hai.
",positive,2
130,"ham logon ne to ye bat pichhle din men kabhi suni bhi nahin ho n ho ye uski man gant hai
",neutral,1
131,"aur nishchay hi lesson lie cattle men bhi ek shiksha hai. unke bellies men jo kuchh hai drink se ham tumhen pilate hai. au lesson lie unmen bahut-se benefits hai aur unhen tum khate bhi ho
",positive,2
132,"other alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng janmashtmi jate hain.
",positive,2
133,"bharavi karib karib kalidas ke contemporary the
",neutral,1
134,"statecraft ke is mantra ko pahchante hue , karnataka dvara government aur shasit ke bich snbndhon ko ghanishth banane ka pryas kiya ja raha hai.
",neutral,1
135,"urdu bhi hindi ki is shakti se hi birth huee fact
",neutral,1
136,"disability aur housing ke bare men policy housingpolicy_disability  detrgovuk
",neutral,1
137,"ghareloo observe the fly ke bad apne kamne ki chhat par baithte hue dekhie.
",neutral,1
138,"aaj, ilahabad uchch state in india ke sabse largest state par nyayadhikar hai jismen hamari jansnkhya ka lagabhag chhatha hissa shamil tha.
",neutral,1
139,"in equipments se grids star ki electricity business residential community buildings v vyaparik centers ko prdan ki ja sakti hai.
",neutral,1
140,"phir hamne use booa lowest of low past se past halat ki taraph pher diya
",negative,0
141,"aur agar GPS nahin hai
",negative,0
142,"proofs ke section ke tahat online  mere anupryog  men prvesh karne ya sidhe ek di office se snpark karne ke bad prastut kiya ja sakta hai.
",neutral,1
143,"certificate pahle hi aayatit kiya ja chuka hai
",neutral,1
144,"ki kisi ko exalting karegi kisi ko buland
",negative,0
145,"magar ho sakta hai ki aap morning ke waking up crying hue paye jayen.
",negative,0
146,"jo  guidance  un logon ke lie hidayat v mercy hai
",positive,2
147,"ye vazee v clear book ki aayten hai
",positive,2
148,"uske bad company ne supreme court ka darvaja khatakhtaya
",positive,2
149,"ae prophet! inkar karnevalon aur kaptachariyon se jihad karo aur unke sath sati se pesh aao. unka thikana jahannam hai aur vah antta pahunchne ki bahut buri jagah hai
",positive,2
150,"ki jo chiz pasand karoge tum ko vahan zaroor milegi
",positive,2
151,"aur destroyed the rest phir hamne un logon ko utterly kar dala
",negative,0
152,"to nay sunset ki muri ki redness
",negative,0
153,"kuchh to musolini ke samman nivedan se prasann hokar aur kuchh uske colourful personality aur ancient and lively snskriti par uske prbhav ko dekhne ki chah se ravindrnath ne itli ka aamntran svikar kiya ve 15 mee 1926 ko nepals ke lie ravana hue
",positive,2
154,"sardar bhat sinh pnjab ki  naujvan bharat sabha  nam se viyat yuva aandolan ke neta the , jisse bad men subhash chandr ka bhi antrng sahachary sthapit huaa
",neutral,1
155,"pmo mntri karyalay men financial year 2015-16 ke rs such koee bhi items nahi kharida gaya jiska value 10 lakh rupe ya usse more ho.
",positive,2
156,"isi prkar mandapa ki do lateral walls men panch ubhar hara elements ke anuroop hain jismen se har disha men central ek devakoshtha hai jo puna shrine entrance ke side aur front ki eastern wall ke side khndon par prapy hai.
",positive,2
157,"india , un rashtr security council ki permanent membership ki  claim ke prti tanzania ke support ke lie grateful hai.
",positive,2
158,"dooradarshan ne financial year 2000-2001 ke dauran vyaprik vijnjapnon se lagabhag chhah arab 37 karor rupye programmes earned
",neutral,1
159,"business in media knpniyon ki hava nikal di.
",positive,2
160,"prtibimbit lake ke back walking path
",neutral,1
161,"contest the election hetu lagabhag sabhi political parties apne pratyashi khare kartin hain.
",positive,2
162,"vo standing hain, unke slightly joote ek-doosre se thore door, par zamin par achchhi tarah jame hue
",neutral,1
163,"aap ek pack le sakte hain
",neutral,1
164,"section - 231 , aay-kar act , 1961-2018
",neutral,1
165,"body of humans humans are prone aatma ka kabhi nash nahin hota.
",negative,0
166,"parallel transfers ko bahuvidh path ki aavashyakta hoti hai.
",neutral,1
167,"aur usko bhi chalis million times viewed four million
",neutral,1
168,"s folder ke lie ke lie quota prapt kar raha hai
",neutral,1
169,"important speeches men ve in donon ko udghrit karna nahin chance the.
",positive,2
170,"tyoob ko achchhi tarah lagaen jisse ki stove aur regulator push ke nozzle ko full tarah dhnka ja sake.
",neutral,1
171,"ne messages arrive par enable audible notifications karen
",neutral,1
172,"pichhe ek bari sabhi huee jismen hakim sahab aur pandit hakim ke public hue.
",neutral,1
173,"paranabhik ko nabhi ke pas sthit jana jata hai
",neutral,1
174,"aur jab garden nikat kar di jaegi ,
",neutral,1
175,"panduvarn ya pitavarn complexion ko refers karta hai
",neutral,1
176,"in sabhi forms ka areas evn business activities aayojit karne ke vishishta kshetr own
",neutral,1
177,"group of people samooh jo samoohik rup se kisi karypryojan people who work
",neutral,1
178,"aryans deities ki koee statues ya temples nahin banate the.
",neutral,1
179,"jo bhi mere sath chalta hai uski life and death mere hathon men hoti hai .
",negative,0
180,"crowding bhi destruction ke any karnon ko janm deti hai, jaise bimari aur aparyapt poshan.
",negative,0
181,"ham win vale hain kyonki hamare pas ek sapna hai.
",positive,2
182,"indian partnership act , 1932 ki section 4
",neutral,1
183,"inspired shikshak apne udaharan se apne vidyarthiyon instill good moral moolyon ka samavesh kar sakte hain.
",positive,2
184,"kripya apne vyaktigat health and well-being aur republic of equatorial ki maitripoorn janta ki pragti aur samriddhi ke lie meri shubhkamnaen svikar karen.
",positive,2
185,"selected bookmark ko ne tab men open
",neutral,1
186,"yah patrak batata hai ki vitamin ke kh deficiency bleeding vitamin ke kh ki kabhi kami ki vajah se khoon bahne lagna kya current advice yah vitamin ke kh sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta current advice
",positive,2
187,"square aditala ki outer wall par uske prastara ke oopar corners par char karnakutas aur wall ke central khndon ke oopar bich men char shala hainniche adhishthan ko front baakar wider kar diya gaya hai , taki samne ek adhik bare square mandapa ka base ban sake
",positive,2
188,"ve revolution ki products thin
",neutral,1
189,"smoking , madira drinking , chinta , prdushan , high environment
",negative,0
190,"bajat pesh karte hue budget speech diya jata hai jo vastav men snsad men sabse important speeches men se ek hota hai
",positive,2
191,"jo koee virtue shall receive aaya use usse uttam prapt hoga, aur jo bura aacharan lekar aaya to buraiyan karnevalon ko to vas vahi milega jo ve karte the
",positive,2
192,"indian partnership act, 1932 ki section 4
",neutral,1
193,"observable jane vale universe ke edge se
",neutral,1
194,"magar ye surely n hoga
",negative,0
195,"jal conservation and management snbndhi parliamentary forum
",neutral,1
196,"tathapi fact yah hai ki hamara region least integrated aur viksit greater huaa hai , jo hamare trade effort ke intensification sahyog aur teji ki need darshata hai.
",positive,2
197,"size aur location ka main window
",neutral,1
198,"game ke pas koee solution nahin hai  vapas le ya phir shuroo karen
",negative,0
199,"tumhe dukh men help i bhi dukh ho raha hai , islie tum best ko bachane ki main ji-jan se koshish karoonga.
",positive,2
200,"is sahejen , to ek aur banane ke lie :
",positive,2
201,"aur samood ke sath kya kiya jo valley ra carved the rocks kar ghar banate the
",neutral,1
202,"new channel ke vimochan ki date tay karne ke lie meeting bulaee gee.
",neutral,1
203,"usmen , usual jaisa hota hai , malaen pahnaee gee aur speeches aadi hue.
",neutral,1
204,"1988 me skool ke ek haris sheild match ke dauran sathi ballebaj vinod kanbli ke sath sachin ne aetihasik 664 rano ki avijit sajhedari ki.
",neutral,1
205,"bari bhayavah bet thi yah .
",negative,0
206,"id aaeedi , system men chaloo pratyek process ke lie ek unique number aavntit karta hai.
",positive,2
207,"geographic size india ke aadhar par vishv ka satvan sabse seventh largest country
",neutral,1
208,"allows bugzilla URL khinchna note sidhe gnote men  bug number ko bataur url jora jata hai ise nikat koee little bug chihn ke sath
",negative,0
209,"article 90 men rajya sabha ke exists ke lie similar hi provision he
",neutral,1
210,"ab us rand ka face don dekhna.
",negative,0
211,"ata tum donon apne rab ki anukampaon men se kis-kis ko deny
",positive,2
212,"in sevices ke leaflets men detailed informaiton ke lie patrika available hai.
",neutral,1
213,"aur ye ki hamara to men tha ki aadmi aur jin uda ki jinn jhoothi bat nahin bol sakte
",negative,0
214,"aur ibrahim ne apni aum se kaha ki tum logon ne uda ko chhorakar buto ko sirph duniya ki zindgi men baham mohabt karne ki vajah se uda bana rakha hai phir yamat ke din tum men se ek ka ek inkar karega aur ek doosre par lanat karega aur aair tum logon ka thikana jahannum hai aur us vakt tumhara koee bhi madadgar n hoga
",negative,0
215,"kuchh nahin , jab pran knth ko aa collar ,
",negative,0
216,"ministry ne is scheme ko prbhavi dhng se lagoo karne ke lie several steps uthae hain.
",positive,2
217,"moolta soory shashthi fast suryashashthi karan ise chhath kaha gaya hai.
",neutral,1
218,"rectum aur brihdantr ka swelling
",neutral,1
219,"sound aavaj aur sound events change
",neutral,1
220,"par sahasron sanskrit text anek sroton se anek inkoding men
",neutral,1
221,"aur ham zarur is kam ko poora karengen aur yoosuph ne apne mulazimon naukron ko hukm diya ki unki jma poonji unke boro men choopke se rakh do taki jab ye log apne ehlo ayal ke pas laut kar jaen to apni put their money le
",neutral,1
222,"udaharan ke taur par, ek muslim child ki shiksha ka learn to read mahatvpoorn ang tha arbi padhne ka jnjan taki vah kuran padh saken
",positive,2
223,"unhonne enaaeeephem ko is siddhant ko choosing ke lie congratulated di thi.
",neutral,1
224,"iske do ansho me pippal aur do ansho me mahan shashkhargosh dikhayi deta hai.
",neutral,1
225,"chunne ke dauran alpha channel ke sath actor ko shape den
",neutral,1
226,"is weather underground Weather Underground jo hai jabki koee hatahat karan vibhinn duniya rajnitik muddon ke lie midiya ka dhyan lane ke lie terror group ka pradarshan ek ugrvadi sngathan amerika gaya thais mudde se kee snkshipt die ge samachar sevaon dvara terror group ke snbndh men hi ullekh hai
",negative,0
227,"s aapko bula kar raha hai  kya aap javab dena chahte hain
",positive,2
228,"lsd  es  di  mind par kis prkar asar dalti hai , yah present men thik-thik pata nahin hai.
",neutral,1
229,"un people ka badla yahi hai ki unapar allah aur farishton aur sare condemnation of god hai
",positive,2
230,"kya image gallery pane badalne yogy hona chahie
",neutral,1
231,"phir kaha jaega, yah vahi hai jis tum lie the
",neutral,1
232,"ata patient se kam lo , uttam patient
",positive,2
233,"s failed to store store mail men asaphla s
",negative,0
234,"kul disbursements bakar 2,629 total mn hona
",neutral,1
235,"religious brotherhood aur samprdayik gupta milap indian communities ke basis hai.
",neutral,1
236,"unke mamle men , ise bima chikitsa vyavsayi ke clinic aur ip case ke residence ke bich 5 ki  km  ki distance tak prti case fee men shamil kiya jata hai.
",neutral,1
237,"yah treatment keval allergic janit asthma ke nishchit cases men hi karagar possible
",negative,0
238,"se call karen! vshingatan se call karen!
",neutral,1
239,"aapka discipline , samarpan aur commitment mushkil halat se gujarne men aapki rough karega.
",positive,2
240,"koee doosra manushy ye kahe, kya aapko samajh understand
",neutral,1
241,"crude oil ke alava niryat kiya jane vala any malsaman.
",negative,0
242,"tab use fikr huee ki lash ko kya kare to uda ne ek kauve ko bheja ki vah zamin ko kuredne laga taki use abil ko dikha de ki use apne hide the corpse kyonkar chhupani chahie ye dekhakar vah kahne laga hae afsos kya main us se bhi aajiz hoon ki us kauve ki barabri kar sakoo ki bla se yah bhi hota to apne hide the corpse chhupa deta alagaraz vah apni harakat se bahut pachhtaya
",negative,0
243,"to people today sign ruh ko to nahin  magar  tere body ko  many signs hone se  b
",positive,2
244,"to jab eye chaundhiya jaegi,
",neutral,1
245,"apni potential ka poorn vikas n karna world men sabse greatest crime hai  jab aap apni poorn kshamta ke sath kary best karte hain , tab aap doosron ki sahayta karte hain
",positive,2
246,"s  doosre argument ki ek time _ second ki aasha karta hai
",negative,0
247,"ankush ek huk aakariy process or part hai.
",neutral,1
248,"standard chartered 140 million brought hai.
",neutral,1
249,"pareshan-aadhar par bheja gaya goods consignee ke suraksha v dharita men remain basis
",neutral,1
250,"nikazad naujoomi ke chitr anekon bal pustkon men liye gaye hai.
",neutral,1
251,"thori bhi asuvidha se ve upset ho uthte hain aur government officials ke lie unhen raste par task to bring samasya ban jati hai
",negative,0
252,"ata inkar karnevalon ki bat n manta aur is  qur  ke dvara unse unbelievers karo , bara unbelievers !  ji tor koshish
",neutral,1
253,"installed package   s  ke lie janch raha hai
",neutral,1
254,"worship hi vah folk fragment hue hai , ruin hokar rahega. aur jo kuchh ye kar rahe hai sarvtha vain hai.
",negative,0
255,"kisi ko impressive manner se dekhne ki action
",positive,2
256,"khuda sood ko mitata hai aur increase for charities hai aur jitne nashukre gunahgar hain khuda unhen dost nahin rakhta
",positive,2
257,"nissndeh yahi bat pahle ki earlier men bhi hai
",positive,2
258,"2 naqara jiski koee twenty pairs hain.
",neutral,1
259,"aur yah ki meri bandgi karo yahi straight path hai
",positive,2
260,"kya label widget sabhi upalabdh horizontal space ko bharna chahie
",neutral,1
261,"air dispersion modeling aur rupantaran farmule chhah se ek lekh samarpit karne ke lie technical quality aur vayu prdooshan ke air dispersion modeling
",positive,2
262,"ham sab milakar sashakt, aatmvishvas aur prosperous nation ke rup men bharat ka 21vin shatabdi men padarpan karaenge.
",positive,2
263,"isse pahle ki boy kuchh javab deta ek titli un donon ke bich aakar apne par pharapharane lagi.
",neutral,1
264,"aur unse kaha jaega apne azab ka maza chakho ye vahi hai jiski tum jaldi machaya karte the
",positive,2
265,"unki eyes spoke of death de rahi thin.
",negative,0
266,"overcrowding and outstanding shesh pnjikaran ki snya men vriddhi hoti gayi
",positive,2
