,text
11,একারণে শিল্প খাতের বিকাশ রুদ্ধ হবে সেই সঙ্গে দেশের ক্ষুদ্র ও মাঝারি শিল্প সমস্যায় পড়বে
12,স্থায়ী ক্যাম্পাস ইস্যুতে কঠোর অবস্থান নিয়েছে শিক্ষা মন্ত্রণালয়
13,তথ্য ও যোগাযোগ প্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদ পলক ও মন্ত্রণালয়ের জ্যেষ্ঠ সচিব এন এম জিয়াউল আলম প্রধানমন্ত্রীর কার্যালয়ে নিয়মিত মন্ত্রিসভা বৈঠকের আগে পুরস্কারগুলো হস্তান্তর করেন
14,এই শিক্ষা ব্যবস্থা দিয়ে বর্তমান ও আগামীর চাহিদা পূরণ অসম্ভব
15,প্রধানমন্ত্রী ভারতের জনগণের অব্যাহত সুখ শান্তি ও সমৃদ্ধি এবং নরেন্দ্র মোদির সুস্বাস্থ্য অব্যাহত সাফল্য ও দীর্ঘায়ু কামনা করেন
16,বিমানবন্দরে আনুষ্ঠানিকতা শেষে একটি সুসজ্জিত মোটর শোভাযাত্রা সহকারে প্রধানমন্ত্রীকে মাদ্রিদের হোটেল ভিলা ম্যাগনায় নিয়ে যাওয়া হবে
17,সন্ধ্যায় তিনি মক্কার সাফা প্রাসাদে ওআইসি শীর্ষ সম্মেলনের উদ্বোধনী অনুষ্ঠানে যোগদান করবেন
18,সরকারি চিকিৎসকদের প্রাইভেট প্র্যাকটিস বন্ধে আইনি নোটিশ
19,শেখ হাসিনা বলেন জাতির পিতা মানুষের অর্থনৈতিক স্বাচ্ছন্দ এনে দিতে চেয়েছিলেন
20,আ হ ম মুস্তফা কামাল বলেন বর্তমান শিক্ষা ব্যবস্থার পরিবর্তন করতে হবে
21,বাংলাদেশ পুলিশ দ্বারা সংঘটিত অবসরপ্রাপ্ত সামরিক কর্মকর্তা মেজর সিনহা রাশেদ খানের হত্যাকান্ড পরিশেষে নিরাপত্তা বাহিনীকে তাদের বিচারবহির্ভূত হত্যাকান্ডের সংস্কৃতির মুখোমুখি হতে বাধ্য করেছে
22,ওবায়দুল কাদের বলেন জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানকে হত্যার পর ছয় বছর আমরা অন্ধকারে ছিলাম
23,কিন্তু বাংলাদেশে এখন পর্যন্ত এ ধরনের কোনো ঘটনা ঘটেনি
24,প্রধানমন্ত্রী বলেন রোহিঙ্গাদের ব্যাপক উপস্থিতির কারণে কক্সবাজারের স্থানীয় জনগণের অনেক দুর্ভোগ পোহাতে হচ্ছে
25,প্রধানমন্ত্রী শেখ হাসিনা বলেছেন যদিও ক্ষমতাসীন দলের গ্রহণযোগ্যতা সাধারণত বিভিন্ন ক্ষেত্রে হ্রাস পায় কিন্তু বাংলাদেশে আওয়ামী লীগের জনপ্রিয়তা বেড়েছে
26,জাতিসংঘের পর এটি বিশ্বব্যাপী রাষ্ট্রগুলোর বৃহত্তম সংগঠন
27,বাংলাদেশ ব্যাংক মুদ্রানীতি ঘোষণা করবে বুধবার
28,শেরেবাংলা নগর থানার ভারপ্রাপ্ত কর্মকর্তা ওসি জানে আলম তথ্য নিশ্চিত করেছেন
29,সংযুক্ত আরব আমিরাতে বাংলাদেশের রাষ্ট্রদূত মোহাম্মদ ইমরান বিমানবন্দরে প্রধানমন্ত্রীকে বিদায় জানান
30,এবার নতুন বছর শুরু হচ্ছে এমন সময় যখন টানা তৃতীয় মেয়াদে দেশ পরিচালনার দায়িত্ব গ্রহণ করতে যাচ্ছে আওয়ামী লীগ নেতৃত্বাধীন মহাজোট সরকার
31,ডাক ও টেলিযোগাযোগ প্রতিমন্ত্রী তারানা হালিম স্থানীয় ও আন্তর্জাতিকভাবে পরিচালিত পর্নো সাইটগুলো বন্ধের উপায় খুঁজতে টেলিকম বিভাগ কর্তৃক গঠিত কারিগরি কমিটিকে নির্দেশনা দেন
32,প্রধানমন্ত্রী ও তার সফরসঙ্গীদের বহনকারী ইতিহাদ এয়ারলাইন্সের একটি ফ্লাইট আজ সকালে আবুধাবি আন্তর্জাতিক বিমানবন্দরে অবতরণ করে
33,পররাষ্ট্র সচিব বলেন ব্যবসা বাণিজ্য যোগাযোগ এবং স্বাস্থ্য খাতের বিষয়ে আলোচনায় প্রাধান্য দেওয়া হয়
34,কিছুক্ষণ পর পুকুর থেকে তার মরদেহ উদ্ধার করা হয়
35,প্রধানমন্ত্রীর ভুটান সফরের সময়ও বিষয়টি নিয়ে আলোচনা হয়েছিল বলে তিনি উল্লেখ করেন
36,সংখ্যাগুরু ও সংখ্যালঘুর মানসিকতা থেকে আমাদের বেরিয়ে আসতে হবে
37,রোহিঙ্গারা যেন পাসপোর্ট না পায় সে ব্যবস্থা নেয়া হচ্ছে
38,শেখ হাসিনা বলেন বর্তমানে তাঁর সরকার কক্সবাজারকে একটি পর্যটন কেন্দ্র হিসেবে গড়ে তুলছে
39,এক্ষেত্রে কম্বোডিয়ার সরকার সব ধরনের সহযোগিতা করবে
40,সব ষড়যন্ত্র উপেক্ষা করে দেশ গড়ার কাজে নিজেকে নিয়োজিত করেন জাতির পিতা
41,সূত্রমতে ওয়ালটনের লক্ষ্য রয়েছে ভবিষ্যতে সিঙ্গাপুর হংকং বেইজিং সাংহাইসহ বিশ্বের অন্যান্য দেশের শেয়ার মার্কেটে তালিকাভুক্ত হওয়ার
42,এ প্রসঙ্গে প্রধানমন্ত্রী উল্লেখ করেন যে আওয়ামী লীগ যখন বিরোধীদলে ছিল তখনও তার দল দেশের স্বার্থে বিভিন্ন ধরনের অর্থনৈতিক কর্মসূচি হাতে নিয়েছে
43,শেখ হাসিনা বিশ্বের অন্যতম ব্যস্ততম বাণিজ্যিক বন্দর পোর্ট অব সিঙ্গাপুর পরিদর্শন করেন
44,প্রধানমন্ত্রী শেখ হাসিনা বৈঠকে বাংলাদেশের পক্ষে এবং সফররত ভুটানের প্রধানমন্ত্রী ডা লোটে শেরিং ভুটানের প্রতিনিধিদলের নেতৃত্ব দেন
45,আমি ওয়ালটনকে একটি প্রাইভেট কোম্পানি নয় বরং জাতীয় গর্ব বলে মনে করি
46,আমন্ত্রণপত্রে তিনি মিয়ানমারের সঙ্গে রোহিঙ্গা শরণার্থী সমস্যা সমাধানে বাংলাদেশকে সহায়তা করতে তার দেশের আগ্রহের কথা প্রকাশ করেছেন
47,ময়মনসিংহ মেডিকেল কলেজ হাসপাতালে ডেঙ্গু জ্বরে আক্রান্ত এক কলেজ ছাত্রের মৃত্যু হয়েছে
48,এবছর বাংলাদেশ থেকে এক হাজারের অধিক শিক্ষার্থী উচ্চশিক্ষার জন্য জার্মানিতে পাড়ি দিয়েছে
49,জাপান রোহিঙ্গা সমস্যার সমাধানে বাংলাদেশকে সহায়তা দিতে প্রস্তুত
50,এরপর প্রধানমন্ত্রী প্রতিনিধিদলের প্রধানদের সঙ্গে ওয়ার্কিং লাঞ্চন ও পূর্ণাঙ্গ অধিবেশনে যোগ দেন
51,রাষ্ট্রপতি আশা প্রকাশ করেন বাংলাদেশের এই ক্রিকেট দলটি আগামী দিনগুলিতেও তাদের এই জয়ের ধারা অব্যাহত রাখবে
52,প্রশাসনকে বায়ুদূষণ রোধে এর মূল কারণগুলো খুঁজে বের করতে ফলপ্রসূ পদক্ষেপ নিতে হবে
53,সবার সঙ্গে বন্ধুত্ব কারো সঙ্গে বৈরিতা নয় বাংলাদেশ এই বৈদেশিক নীতি অনুসরণ করে এবং বাংলাদেশ প্রতিবেশীদের সাথে খুব ভাল সম্পর্ক বজায় রাখে
54,ঢাকায় অপরিকল্পিতভাবে স্থাপনা নির্মাণের কাজ চলে
55,এ প্রসঙ্গে মনে রাখা দরকার কেবল উচ্চবিত্তের মানুষই নন সমাজের নিম্নবিত্তের মানুষও গ্যাস ও বিদ্যুতের গ্রাহক
56,নতুন করে মহাসড়ক নির্মাণ না করে রেলপথ ও নদীপথের দিকে নজর দিতে নির্দেশনা দিয়েছেন প্রধানমন্ত্রী শেখ হাসিনা
57,এই দৃষ্টিভঙ্গি আমাদেরকে সকল দেশের সঙ্গে সুসম্পর্ক রাখতে সহায়তা করছে
58,সুমন ছিল গ্রামের মৃত সামসু মিয়ার ছেলে
59,প্রধানমন্ত্রী বলেন জাপান চীন ভারত এবং কোরিয়াসহ বিভিন্ন দেশ ইতোমধ্যেই মাতারবাড়িতে তাদের বিনিয়োগের জন্য আগ্রহ প্রকাশ করেছে
60,জেলা শিক্ষা কর্মকর্তা সৈয়দ সিদ্দিকুর রহমান জানান বন্যার কারণে বিদ্যালয়গুলোতে পাঠদান কার্যক্রম ব্যাহত হচ্ছিল
61,শেখ হাসিনা ব্যবসা বাণিজ্য এবং বিনিয়োগের ক্ষেত্রেও জাপান বাংলাদেশ সম্পর্কের উল্লেখ করেন
62,ত্রুটিপূর্ণ বাস রিকন্ডিশন্ড গাড়ি এবং বিভিন্ন কারখানা থেকে কালো ধোঁয়া ও বিষাক্ত রাসায়নিক বাতাসে ছড়িয়ে পড়ছে
63,এ পর্যন্ত উদ্ধার করা হয়েছে এক কিলোমিটারেরও বেশি এলাকা
64,ভারতের প্রধানমন্ত্রী উল্লেখ করেন প্রধানমন্ত্রী শেখ হাসিনার দূরদর্শী নেতৃত্বে বাংলাদেশ ও ভারতের মধ্যে অংশিদারিত্ব বিকশিত হয়েছে
65,গবেষকরা তথ্য শ্রেণিবদ্ধকরণের পুঞ্জিভূত সমস্যার সমাধান অনুসন্ধান করার চেষ্টা করছেন
66,বাংলাদেশে বিশেষ করে রাজধানী ঢাকায় বায়ুদূষণ বেড়েই চলেছে
67,তারা দেশের অর্থনীতিতে গুরুত্বপূর্ণ অবদান রাখছে
68,কর্তৃপক্ষ তাদেরকে মারধর করার পর শরনার্থীরা তাদের অনশন প্রতিবাদ বন্ধ করে দিয়েছিল
69,নবম জাতীয় সংসদের আগে যেই ধরনের সুষ্ঠু ও নিরপেক্ষ নির্বাচন হয়েছে সে ধরনের নির্বাচনের আয়োজন করতে নির্বাচন কমিশনারের কাছে দাবি জানিয়েছে বিএনপি
70,এ পরিতস্থিতিতে নিম্নবিত্ত মানুষের সামর্থের বিষয়টিও বিবেচনায় রাখতে হবে
71,পরে প্রক্টরিয়াল টিমের সাহায্যে অভিযুক্তদের শাহবাগ থানায় সোপর্দ করা হয়েছে
72,দুইভিত্তিক এই কাঠামোটি সহজ এবং সহজাত কিন্তু পৃথিবী আরো বেশি জটিল
73,তিনি বলেন যখনই আমরা কোন উন্নয়ন প্রকল্প গ্রহণ করবো তখন আমাদের অবশ্যই খেয়াল রাখতে হবে যাতে দরিদ্র জনগণের জীবন এবং জীবিকা কোনভাবেই থেমে না যায়
74,শেখ হাসিনা এ সংকট মোকাবিলায় উদার সমর্থন এবং মিয়ানমার থেকে জোরপূর্বক বাস্তুচ্যুত লোকদের দ্রুত প্রত্যাবাসনে সমর্থন দেওয়ার ক্ষেত্রে তাদের প্রচেষ্টার জন্য জাপান সরকারকে ধন্যবাদ জানান
75,প্রধানমন্ত্রী শেখ হাসিনা বলেছেন তার সরকার সব ধর্মের মানুষের কল্যাণে কাজ করছে
76,মঙ্গলবার বিকেলে জনপ্রশাসন মন্ত্রণালয় সিদ্ধান্তটি তাৎক্ষণিকভাবে কয়ার্যকর করার জন্য আদেশ জারি করে
77,বস্তুত পোপ বোঝাতে চেয়েছেন যে সৃষ্টির সেরা হিসেবে মানুষের মধ্যে কোনো ভেদাভেদ নেই
78,আরও এক ছাত্রকে উদ্ধার করে হাসপাতালে ভর্তি করা হয়েছে
79,মুসলিম উম্মার মধ্যে দ্বন্দ্বের কথা উল্লেখ করে প্রধানমন্ত্রী বলেন আলোচনা ও সমঝোতার মাধ্যমে ভ্রাতৃত্বের দ্বন্দ্বের অবসান করা উচিৎ
80,লিয়াকত আলী বলেন ইতোমধ্যেই ওয়ালটন বাংলাদেশের বাজারে শীর্ষে রয়েছে এবং এখন তাদের লক্ষ্য বৈশ্বিক বাজার
81,প্রধানমন্ত্রী এবং তার সফরসঙ্গীদের নিয়ে বিমান বাংলাদেশ এয়ারলাইন্সের একটি বিশেষ ফ্লাইট রোববার সকালে মাদ্রিদের উদ্দেশে হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর ত্যাগ করবে
82,শেখ হাসিনার গতিশীল নেতৃত্বে চলমান অগ্রগতির ধারা অব্যাহত থাকলে খুব সহসাই বাংলাদেশ বিশ্ব অর্থনীতিতে জোরালো দৃষ্টান্ত স্থাপন করবে
83,বিমানবন্দরে যুক্তরাষ্ট্রে নিযুক্ত বাংলাদেশের রাষ্ট্রদূত মোহাম্মদ জিয়াউদ্দিন এবং জাতিসংঘে বাংলাদেশের রাষ্ট্রদূত ও স্থায়ী প্রতিনিধি মাসুদ বিন মোমেন প্রধানমন্ত্রীকে স্বাগত জানাবেন
84,জ্ঞান সম্পর্কিত বিজ্ঞানীরা শ্রেণিবিন্যাসের গুরুত্ব দেখিয়েছেন তাদের কেউ কেউ যুক্তি দিয়েছেন চিনতে পারার মানেই হলো আলাদা করতে পারা
85,ঢাকা সফরকালে পোপ ফ্রান্সিস বলেছেন তিনি নির্যাতিত রোহিঙ্গা জনগোষ্ঠীর মধ্যে ঈশ্বরের উপস্থিতি টের পেয়েছেন
86,তারা প্রতিবাদকারী মহিলা এবং পুরুষদের এমনকি তাদের বাচ্চাদের যারা তাদের মায়ের সাথে দাঁড়িয়ে ছিল তাদের মারধর করেছিল
87,এ মন্ত্রণালয়ের তথ্য ও যোগাযোগ প্রযুক্তি বিভাগের দায়িত্ব দেওয়া হয়েছে প্রতিমন্ত্রী জুনাইদ আহমেদ পলককে
88,কারণ ঘরে থাকা অনেক মূল্যবান জিনিসপত্র নেয়নি হত্যাকারীরা
89,বিজয় দিবসে মুক্তিযোদ্ধাদের শুভেচ্ছা জানিয়েছেন প্রধানমন্ত্রী
90,প্রধানমন্ত্রী মোদির এ মাসের শেষ নাগাদ কৌশলগত অংশীদারিত্ব প্রসারিত করার লক্ষ্যে বার্ষিক অনুষ্ঠান ভারত ইইউ সামিটে যোগ দিতে ব্রাসেলস যাওয়ার কথা ছিল
91,রোববার বিচারপতি মইনুল ইসলাম চৌধুরী ও বিচারপতি মো আশরাফুল কামাল সমন্বয়ে গঠিত হাইকোর্ট বেঞ্চ এই আদেশ দেন
92,মরিয়ম খাতুন গ্রামের শেখ ইমরান হোসেনের মেয়ে
93,খানজাহান আলী থানার ভারপ্রাপ্ত কর্মকর্তা ওসি শফিকুল ইসলাম ঘটনার সত্যতা নিশ্চিত করেন
94,বাংলাদেশে ডিজিটাল বই প্রকাশ অনেক কারণেই গড়ে উঠেনি যার মধ্যে রয়েছে ই বুক রিডারের উচ্চ মূল্য এবং চাহিদার অভাব
95,প্রধানমন্ত্রী অতিথিদের জন্য নির্ধারিত বিভিন্ন টেবিলে ঘুরে ঘুরে তাদের সঙ্গে শুভেচ্ছা বিনিময় করেন এবং তাদের সম্পর্কে খোঁজ খবর নেন
96,বাংলাদেশে বিরাজমান ধর্মীয় সম্প্রীতির উল্লেখ করে প্রধানমন্ত্রী বলেন এখানে সব ধর্মের মানুষ একত্রে যেকোনো ধর্মীয় উৎসবে অংশগ্রহণ করে
97,বাংলাদেশকে উন্নয়নের রোল মডেল হিসেবে প্রতিষ্ঠা করেছেন শেখ হাসিনা
98,রাজধানীর বনানীর এফআর টাওয়ারে অগ্নিকাণ্ডের ঘটনায় একটি মামলা হয়েছে
99,তিনি আরো বলেন বাংলাদেশের জাতীয় চার নেতাও যদি বেঁচে থাকতো তাহলে এতো পিছিয়ে থাকতো না
100,দেশের প্রধান রপ্তানি পণ্য এখন পর্যন্ত তৈরি পোশাক হলেও অন্যান্য পণ্যের রপ্তানিও দ্রুত বাড়ছে
101,সংবাদ বিজ্ঞপ্তিতে বলা হয় সকলের দ্বারা এবং সকলের জন্য শিরোনামে সিইআরএফ আয়োজিত এক অনুষ্ঠানে যোগ দেন রাবাব ফাতিমা
102,স্বাধীনতার পর এই ঐতিহাসিক দিনটিতে সশস্ত্র বাহিনী দিবস হিসেবে পালন করা হচ্ছে
103,সিইসির ব্যক্তিগত কর্মকর্তা একেএম মাজহারুল ইসলাম এ তথ্য নিশ্চিত করেন
104,এছাড়া দেশে রেমিট্যান্সের প্রবাহও বেড়েছে
105,এসব বিষয়ে শিক্ষকদের প্রশিক্ষিত ও দক্ষ করে তুলতে হবে
106,গত কয়েক বছরে দেশে কয়েকটি অনলাইন প্ল্যাটফর্ম দেখা গেছে যারা বইয়ের হার্ড কপি বিক্রি করে
107,প্রধানমন্ত্রী বলেন বাংলাদেশ রোহিঙ্গা প্রত্যাবর্তনে দ্বিপক্ষীয় ব্যবস্থা করেছে
108,দেশের চাহিদা পূরণ করে ওয়ালটন রেফ্রিজারেটর রপ্তানি হচ্ছে বিশ্বের বিভিন্ন দেশে
109,তাই আইন শৃঙ্খলা রক্ষাকারী বাহিনীকে এ বিষয়ে আরো সতর্কতার সঙ্গে কাজ করা জরুরি
110,সাক্ষাৎকালে তারা পারস্পরিক কুশলাদি বিনিময় ছাড়াও ঢাকা মেট্রোপলিটন এলাকায় সেনাবাহিনী ও পুলিশ সদস্যদের মধ্যে সৌহার্দ্যপূর্ণ সম্পর্ক এবং নিরাপত্তা সংশ্লিষ্ট বিভিন্ন বিষয়ে একযোগে কাজ করার বিভিন্ন দিক নিয়ে আলোচনা করেন
111,বাংলাদেশে হোলি আর্টিজানে ক্ষতিগ্রস্ত জাপানিরা তার সঙ্গে সাক্ষাৎ করবেন
112,তিনি সন্ত্রাস দমনে বাংলাদেশের নেওয়া পদক্ষেপের প্রশংসা করেন
113,তবে আমরা বিষয়টি আলোচনার মাধ্যমে সমাধান করতে চাই
114,এই শঙ্কা দূর করতে এবং রোহিঙ্গারা যাতে নিরাপদে মর্যাদা ও নিজস্ব পরিচয়ে নিজ দেশে ফেরত যেতে পারে সেজন্য অনুকূল পরিবেশ গড়ে তুলতে চীনের ভূমিকা পালনের ওপর গুরুত্ব আরোপ করেন প্রধানমন্ত্রী
115,রোহিঙ্গা ইস্যুতে রিয়াদ বাংলাদেশের পাশে থাকবে
116,আমার ছেলে দুই তিন দিন আগে আমাকে বলেছে তার শাশুড়ি অণ্ডকোষ চেপে ধরে মেরে ফেলতে চেয়েছিল
117,ডিজিটাল অর্থনীতি জ্বালানি ও অবকাঠামোগত উন্নয়নের প্রবৃদ্ধির ক্ষেত্রে সবচেয়ে প্রাসঙ্গিক চ্যালেঞ্জগুলোর ওপর জোর দেবেন তিনি
118,বিশ্ববিদ্যালয়ের শিক্ষক সমিতির জরুরি বৈঠকে এ সিদ্ধান্ত নেয়া হয়েছে
119,সোমবার নাজিমউদ্দিন রোডের ঢাকা কেন্দ্রীয় কারাগার থেকে তাকে হাসপাতালে নেওয়া হয়
120,তথ্যমন্ত্রী ড হাছান মাহমুদ বলেছেন বিশ্বের যেকোনো দেশের তুলনায় বাংলাদেশের গণমাধ্যম এবং সাংবাদিকরা অধিকতর স্বাধীনতা ভোগ করছে
121,বাংলাদেশের আইসিটি মন্ত্রণালয়ের উদ্যেগে অনুষ্ঠিত এই বৈঠকে উপস্থিত ছিলেন তথ্য ও যোগাযোগ প্রযুক্তি বিভাগের উপসচিব মো মনির হোসেন
122,সঞ্চালকের এক প্রশ্নের জবাবে প্রধানমন্ত্রী বলেন বাংলাদেশ দক্ষিণ পূর্ব এশিয়া ও অন্যান্য অঞ্চলের মধ্যে ব্যবসা বাণিজ্যের উন্নয়নে সংযোগ প্রতিষ্ঠার ওপর অগ্রাধিকার দিচ্ছে
123,জাপানের রাষ্ট্রদূত প্রধানমন্ত্রীর জাপান সফরের সময় হলি আর্টিজান বেকারীর ভিকটিমদের পরিবার পরিজনের সঙ্গে সাক্ষাৎ এবং দুঃখ ভাগাভাগি করে নেয়ার জন্যও তাঁকে ধন্যবাদ জানান
124,মুন্সীগঞ্জের সিরাজদিখান উপজেলায় এক যুবকের ঝুলন্ত লাশ উদ্ধার করেছে পুলিশ
125,সচিব আরো বলেন তবে ইউনিয়ন পরিষদের চেয়ারম্যান মেম্বার জেলা পরিষদের সদস্য পৌরসভার মেয়র কাউন্সিলরদের পদত্যাগ করতে হবে
126,যুক্তরাষ্ট্রের রাষ্ট্রদূত মিলার ফোরামে যুক্তরাষ্ট্র ও বাংলাদেশের মধ্যে বাণিজ্য ও বিনিয়োগ বৃদ্ধির সুযোগগুলো তুলে ধরবেন
127,স্পিকার শিরীন শারমিনকে ভারতের লোকসভায় আমন্ত্রণ
128,এই সম্পর্ক ক্রমেই গভীর এবং সম্প্রসারিত হয়েছে যোগ করেন তিনি
129,কাউকে খালি হাতে ফিরতে হবে নাঃ অর্থমন্ত্রী
130,সাতক্ষীরা জেলা কারাগারে মাজারুল ইসলাম নামে এক মাদক মামলার আসামির মৃত্যু হয়েছে
131,আমাদেরকে দেশের শিক্ষার উন্নয়নে ভূমিকা রাখতে হবে
132,সোমবার পার্টির চেয়ারম্যান গোলাম মোহাম্মদ কাদের সদস্যদের নাম ঘোষণা করেন
133,আমরা আশা করি নতুন বছরে এই সংকটের সমাপ্তি হবে এবং দ্রুত রোহিঙ্গাদের প্রত্যাবাসন কাজ সম্পন্ন হবে
134,তিনি বলেন আমি সকল দেশের প্রতি কার্বন নিঃসরণ নিয়ে তাঁদের অঙ্গীকার বাস্তবায়নের এবং জলবায়ু ঝুঁকিপূর্ণ দেশগুলোর পদক্ষেপে অর্থায়নের আহবান জানাচ্ছি
135,সিটি করপোরেশন আইন অনুযায়ী করপোরেশনের মেয়াদ হচ্ছে প্রথম সভা থেকে পরের পাঁচ বছর
136,প্রধানমন্ত্রী বিকেলে যুক্তরাজ্যের গুরুত্বপূর্ণ থিঙ্ক ট্যাঙ্ক বৈদেশিক উন্নয়ন ইনস্টিটিউট ওডিআই আয়োজিত এক উচ্চ পর্যায়ের অনুষ্ঠানে অংশ নেবেন
137,প্রধানমন্ত্রী দলীয় নেতা কর্মীদের পহেলা বৈশাখের শুভেচ্ছা জানিয়ে বলেন দলমত বর্ণ সম্প্রদায় নির্বিশেষে জাতি বাংলা নববর্ষ উদযাপন করেছে
138,দেশের চাহিদা মেটাতে নতুন নতুন চিন্তাধারা নিয়ে কাজ করব
139,তিনি বলেন জাপানী উদ্যোক্তারা সেখানে নিজস্ব প্রয়োজন অনুযায়ী শিল্প কারখানা গড়ে তুলতে পারে
140,পরে প্রবাসী বাংলাদেশীরা প্রধানমন্ত্রীর আবাসস্থল হোটেল হিলটন বাকুতে প্রধানমন্ত্রীর সঙ্গে সাক্ষাৎ করেন
141,বাংলাদেশ ছাত্রলীগের নতুন ভারপ্রাপ্ত সভাপতি ও সাধারণ সম্পাদক সোমবার ক্ষমতাসীন দলের ছাত্র সংগঠনের আনুষ্ঠানিক দায়িত্ব গ্রহণ করেন
142,নির্বাচন কমিশন ঢাকা সিটি নির্বাচন সুষ্ঠু ও গ্রহণযোগ্য করতে বদ্ধপরিকর
143,এ সময় প্রধানমন্ত্রীর ছোট বোন শেখ রেহানা ও মেয়ে সায়মা ওয়াজেদ হোসেন উপস্থিত ছিলেন
144,সংসদ নির্বাচনে বিরোধী দল ব্যাপক কারচুপির অভিযোগ এনে ফল প্রত্যাখ্যান করেছে
145,কিন্তু সেই আইন মানছেন না অনেক নাগরিক
146,তাই কর্ণফুলীকে বাঁচাতে এ অভিযান শুরু হয়েছে এবং তা আমাদেরকেই সফল করতে হবে
147,এ প্রসঙ্গে তারা রাজধানীর কাকরাইলে তাবলিগ জামায়াতের মারকাজ প্রতিষ্ঠায় বঙ্গবন্ধুর জমি দেওয়ার কথা উল্লেখ করেন
148,তাছাড়াও আফগানিস্তান ও নিউজিল্যান্ড থেকে একজন করে খেলোয়াড় তালিকায় স্থান পেয়েছেন
149,কমিশনকে জনগণের ও রাজনৈতিক দলগুলোর আস্থা অর্জনের মাধ্যমে ভাবমূর্তি পুনরুদ্ধারের চেষ্টা করার পরামর্শও দিয়েছেন তারা
150,এতে আরো উল্লেখ করা হয় অব্যাহত নীতি পরিবেশের কারণে জোরাল সরকারি বিনিয়োগ এবং দ্রুত বড় বড় অবকাঠামো প্রকল্প বাস্তবায়ন এবং আওতা বৃদ্ধিসহ উচ্চ কর সংগ্রহ বাংলাদেশের অর্থনীতিকে আরো এগিয়ে নেবে
151,আওয়ামী লীগ সরকার ব্যাপক অর্থনৈতিক উন্নয়নের মাধ্যমে দেশের মানুষের ভাগ্যের পরিবর্তন করেছে যা গ্রাম পর্যায়েও পৌঁছে গিয়েছে তিনি বলেন
152,বাংলাদেশ ইতোমধ্যে মায়ানমারকে তাদের নাগরিকদের ফিরিয়ে নেওয়ার আহ্বান জানিয়েছে
153,প্রধানমন্ত্রী শেখ হাসিনা ঈদুল আজহা উপলক্ষে আগামী সোমবার তার সরকারি বাসভবনে সমাজের সর্বস্তরের জনগণের সঙ্গে ঈদের শুভেচ্ছা বিনিময় করবেন
154,আমিনুল ইসলাম বলেন আমাদের রয়েছে বিশাল শ্রম বাজার ও ভোক্তা শ্রেণি
155,বৃহস্পতিবার শহরের আগারগাঁওয়ে এনইসি সম্মেলন কক্ষে আয়োজিত বাণিজ্য সংগঠন ও ব্যবসায়ীদের সঙ্গে এক আলোচনায় অর্থমন্ত্রী এসব কথা বলেন
156,স্থানীয় সরকার পল্লী উন্নয়ন ও সমবায় মন্ত্রণালয়ের অধীন স্থানীয় সরকার বিভাগের মন্ত্রী করা হয়েছে তাজুল ইসলামকে
157,সাতক্ষীরার তালা উপজেলায় পুকুরের পানিতে ডুবে মরিয়ম খাতুন নামে আড়াই বছর বয়সী এক শিশুর মৃত্যু হয়েছে
